노선명,역명,일일_평균_승하차_인원_수,위도,경도
2호선,강변(동서울터미널),75647.995725,37.535161,127.094684
2호선,건대입구,80990.815389,37.540408,127.069231
7호선,건대입구,29431.833823,37.540882,127.071103
5호선,광나루(장신대),25299.514293,37.545301,127.103478
2호선,구의(광진구청),44629.874165,37.536857,127.085024
5호선,군자(능동),22436.678333,37.557102,127.079559
7호선,군자(능동),24569.041143,37.557151,127.079484
5호선,아차산(어린이대공원후문),28089.692225,37.552005,127.089609
7호선,어린이대공원(세종대),29115.761421,37.547962,127.07465
7호선,자양(뚝섬한강공원),17849.315522,37.531558,127.066714
7호선,중곡,19002.780123,37.565877,127.084291
